"","SubjectID","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","n"
"41","Subject133",454.145833333333,110.513692149354,675.173217632042,233.118449034625,2,0,48
"42","Subject134",587.041666666667,147.356270879036,881.754208424739,292.329124908594,1,0,48
"43","Subject135",398.604166666667,82.8877065502667,564.3795797672,232.828753566133,3,0,48
"44","Subject136",613.25,224.505461242393,1062.26092248479,164.239077515214,1,0,48
"45","Subject137",707.3125,244.153261619775,1195.61902323955,219.005976760449,3,0,48
"46","Subject138",494.791666666667,151.523744130948,797.839154928563,191.744178404771,2,0,48
"47","Subject139",717.333333333333,264.286541251205,1245.90641583574,188.760250830924,1,1,48
"48","Subject14",402.270833333333,71.1264201393826,544.523673612098,260.017993054568,2,0,48
"49","Subject140",449.833333333333,124.559536022676,698.952405378686,200.714261287981,3,0,48
"50","Subject141",567.270833333333,129.381135719787,826.033104772907,308.50856189376,1,0,48
"51","Subject142",386.125,168.796695666962,723.718391333925,48.5316086660753,0,6,48
"52","Subject143",401.729166666667,70.2568962567463,542.242959180159,261.215374153174,1,0,48
"53","Subject144",593.854166666667,218.124792466726,1030.10375160012,157.604581733214,2,1,48
"54","Subject145",528.25,114.84374212983,757.937484259661,298.562515740339,2,0,48
"55","Subject146",434.375,56.2523285570038,546.879657114008,321.870342885992,2,0,48
"56","Subject148",391.729166666667,79.6681253390304,551.065417344728,232.392915988606,3,1,48
"57","Subject149",403.416666666667,82.7502865800356,568.917239826738,237.916093506596,1,0,48
"58","Subject15",437,75.8907389298533,588.781477859707,285.218522140293,3,0,48
"59","Subject150",667.833333333333,237.197765887126,1142.22886510759,193.437801559081,2,0,48
"60","Subject151",448.541666666667,65.0099692300403,578.561605126747,318.521728206586,2,0,48
"61","Subject152",520.229166666667,147.719579016536,815.668324699739,224.790008633594,3,0,48
"62","Subject153",417.645833333333,68.2029167602818,554.051666853897,281.23999981277,2,0,48
"63","Subject154",483.458333333333,227.478496372859,938.415326079051,28.5013405876157,1,0,48
"64","Subject155",453.354166666667,101.68170813624,656.717582939147,249.990750394186,3,0,48
"65","Subject156",501.145833333333,93.5209589851577,688.187751303649,314.103915363018,0,0,48
"66","Subject157",489.1875,77.9794452594959,645.146390518992,333.228609481008,2,0,48
"67","Subject158",647.729166666667,212.10733328514,1071.94383323695,223.514500096387,2,0,48
"68","Subject159",456.791666666667,78.5292893816068,613.85024542988,299.733087903453,3,0,48
"69","Subject16",627.0625,123.307159504655,873.67681900931,380.44818099069,1,0,48
"70","Subject160",1018.5625,302.232959764624,1623.02841952925,414.096580470751,2,1,48
"71","Subject17",378,75.6360265391982,529.272053078396,226.727946921604,1,0,48
"72","Subject181",705.145833333333,272.684603844366,1250.51504102207,159.776625644601,1,1,48
"73","Subject182",379.666666666667,50.0035459735515,479.67375861377,279.659574719564,1,0,48
"74","Subject183",587.75,170.211195471478,928.172390942957,247.327609057043,1,0,48
"75","Subject184",370.666666666667,80.4054442248341,531.477555116335,209.855778216998,4,1,48
"76","Subject186",556.291666666667,179.044385122717,914.3804369121,198.202896421234,4,0,48
"77","Subject187",485.8125,136.127233389255,758.066966778511,213.55803322149,4,0,48
"78","Subject188",428.229166666667,95.5575441165618,619.34425489979,237.114078433543,2,0,48
