"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","n"
"280","Subject146","typesuicide",455.666666666667,72.5851641908046,600.836995048276,310.496338285058,1,0,12
"281","Subject148","typenegative",413.75,96.438510791262,606.627021582524,220.872978417476,0,0,12
"282","Subject148","typeneutral",349.833333333333,44.5764579802008,438.986249293735,260.680417372932,1,0,12
"283","Subject148","typepositive",378.916666666667,55.4526142236994,489.821895114065,268.011438219268,0,0,12
"284","Subject148","typesuicide",424.416666666667,94.6999648011198,613.816596268906,235.016737064427,1,0,12
"285","Subject149","typenegative",399.166666666667,75.378841175556,549.924349017779,248.408984315555,0,0,12
"286","Subject149","typeneutral",376.5,79.7923441303624,536.084688260725,216.915311739275,0,0,12
"287","Subject149","typepositive",389.5,60.7416286787361,510.983257357472,268.016742642528,0,0,12
"288","Subject149","typesuicide",448.5,101.39526616169,651.29053232338,245.70946767662,1,0,12
"289","Subject15","typenegative",445.333333333333,74.7484670968799,594.830267527093,295.836399139574,0,0,12
"290","Subject15","typeneutral",435.583333333333,85.710356150906,607.004045635145,264.162621031521,1,0,12
"291","Subject15","typepositive",415.166666666667,84.3389625621551,583.844591790977,246.488741542356,1,0,12
"292","Subject15","typesuicide",451.916666666667,60.9999379035948,573.916542473856,329.916790859477,0,0,12
"293","Subject150","typenegative",740.333333333333,301.455358773622,1343.24405088058,137.422615786089,1,0,12
"294","Subject150","typeneutral",680.666666666667,210.985278820082,1102.63722430683,258.696109026502,0,0,12
"295","Subject150","typepositive",576,159.954538996099,895.909077992198,256.090922007802,1,0,12
"296","Subject150","typesuicide",674.333333333333,253.495681631977,1181.32469659729,167.341970069379,0,0,12
"297","Subject151","typenegative",432.583333333333,64.5621030598845,561.707539453102,303.459127213564,1,0,12
"298","Subject151","typeneutral",454.583333333333,69.5197268711725,593.622787075678,315.543879590988,1,0,12
"299","Subject151","typepositive",454.166666666667,50.5242216139642,555.215109894595,353.118223438738,0,0,12
"300","Subject151","typesuicide",452.833333333333,78.3045724118717,609.442478157077,296.22418850959,1,0,12
"301","Subject152","typenegative",516.416666666667,143.276882823138,802.970432312942,229.862901020391,1,0,12
"302","Subject152","typeneutral",498.75,145.362947010703,789.475894021405,208.024105978595,1,0,12
"303","Subject152","typepositive",517.666666666667,161.741282374793,841.149231416252,194.184101917081,1,0,12
"304","Subject152","typesuicide",548.083333333333,155.06096064178,858.205254616892,237.961412049774,0,0,12
"305","Subject153","typenegative",428.666666666667,54.6165698023017,537.89980627127,319.433527062063,0,0,12
"306","Subject153","typeneutral",387.916666666667,29.3643517128363,446.645370092339,329.187963240994,0,0,12
"307","Subject153","typepositive",401.916666666667,77.990044042153,557.896754750973,245.936578582361,1,0,12
"308","Subject153","typesuicide",452.083333333333,85.3649473872282,622.81322810779,281.353438558877,1,0,12
"309","Subject154","typenegative",435.416666666667,122.520097300093,680.456861266853,190.376472066481,1,0,12
"310","Subject154","typeneutral",513.833333333333,195.437427016393,904.708187366119,122.958479300548,1,0,12
"311","Subject154","typepositive",438.5,73.4160002377485,585.332000475497,291.667999524503,0,0,12
"312","Subject154","typesuicide",546.083333333333,390.504675407544,1327.09268414842,-234.926017481755,1,0,12
"313","Subject155","typenegative",537.083333333333,126.20434968252,789.492032698374,284.674633968293,0,0,12
"314","Subject155","typeneutral",438.25,78.9592817964942,596.168563592988,280.331436407012,1,0,12
"315","Subject155","typepositive",404.833333333333,57.7877516643816,520.408836662097,289.25783000457,0,0,12
"316","Subject155","typesuicide",433.25,88.1415442239459,609.533088447892,256.966911552108,0,0,12
"317","Subject156","typenegative",511.916666666667,113.534502832105,738.985672330877,284.847661002456,0,0,12
"318","Subject156","typeneutral",484.25,94.646831575456,673.543663150912,294.956336849088,0,0,12
"319","Subject156","typepositive",485.916666666667,60.8746227665494,607.665912199766,364.167421133568,0,0,12
