"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"125","Subject13","negative",352.666666666667,32.8176781628439,434.710862073776,270.622471259557,0,0,"Subject13","neutral",356.25,52.4969386862565,487.492346715641,225.007653284359,0,0,"Subject13","positive",362.6,55.1043454628479,500.36086365712,224.83913634288,1,0,"Subject13","suicide",340.75,35.8717955263702,430.429488815926,251.070511184074,0,0
"129","Subject130","negative",422.2,96.0827024718066,662.406756179517,181.993243820483,0,0,"Subject130","neutral",453.25,140.379248228979,804.198120572448,102.301879427552,1,0,"Subject130","positive",389.625,50.9089055732557,516.897263933139,262.352736066861,1,0,"Subject130","suicide",404.625,52.7230183759112,536.432545939778,272.817454060222,0,0
"133","Subject131","negative",372.5625,61.0671420105226,525.230355026306,219.894644973694,0,0,"Subject131","neutral",415.25,158.66253496021,811.906337400526,18.5936625994739,1,0,"Subject131","positive",447.125,277.837572453163,1141.71893113291,-247.468931132908,1,0,"Subject131","suicide",376.4375,63.5011482835809,535.190370708952,217.684629291048,0,0
"137","Subject132","negative",513.4,201.772077921033,1017.83019480258,8.96980519741737,0,0,"Subject132","neutral",500.470588235294,197.469338647503,994.143934854053,6.79724161653587,1,0,"Subject132","positive",485.0625,142.912779344606,842.344448361515,127.780551638485,1,0,"Subject132","suicide",506.833333333333,175.237414712588,944.926870114803,68.7397965518635,0,0
"141","Subject133","negative",291.75,50.2944662297288,417.486165574322,166.013834425678,1,0,"Subject133","neutral",282.466666666667,29.5269045996714,356.283928165845,208.649405167488,0,1,"Subject133","positive",287.1875,30.1909892738435,362.664973184609,211.710026815391,0,0,"Subject133","suicide",288.8125,39.4735671050895,387.496417762724,190.128582237276,0,1
"145","Subject134","negative",413.375,39.9764514016273,513.316128504068,313.433871495932,0,0,"Subject134","neutral",410.6875,87.3534725507044,629.071181376761,192.303818623239,1,0,"Subject134","positive",396.1875,44.5229809574037,507.494952393509,284.880047606491,0,0,"Subject134","suicide",406,43.9408693587189,515.852173396797,296.147826603203,0,0
"149","Subject135","negative",372.3125,130.929863540243,699.637158850608,44.9878411493924,1,0,"Subject135","neutral",342.3125,49.8032378465497,466.820594616374,217.804405383626,0,0,"Subject135","positive",328.9375,47.1373436530599,446.78085913265,211.09414086735,0,0,"Subject135","suicide",337.125,28.0401497856199,407.22537446405,267.02462553595,0,0
"153","Subject137","negative",415.6875,49.9596086854171,540.586521713543,290.788478286457,0,0,"Subject137","neutral",439.9375,103.060156381277,697.587890953193,182.287109046807,1,0,"Subject137","positive",425.5,61.9160722268459,580.290180567115,270.709819432885,0,0,"Subject137","suicide",385.75,42.869569626951,492.923924067378,278.576075932622,0,0
"157","Subject138","negative",353.5625,136.459991084078,694.712477710195,12.4125222898048,1,0,"Subject138","neutral",353.25,74.7043059892356,540.010764973089,166.489235026911,1,0,"Subject138","positive",318.375,25.0169942239271,380.917485559818,255.832514440182,0,0,"Subject138","suicide",329.75,26.3375524046307,395.593881011577,263.906118988423,0,0
"161","Subject139","negative",493,168.850229493477,915.125573733694,70.8744262663064,1,0,"Subject139","neutral",551.9375,286.095664361882,1267.17666090471,-163.301660904705,1,0,"Subject139","positive",418.9375,76.3172927105428,609.730731776357,228.144268223643,0,0,"Subject139","suicide",473.625,120.293460614726,774.358651536815,172.891348463185,0,0
