"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"171","Subject141","negative",470.75,74.7813479418498,657.703369854624,283.796630145376,0,0,"Subject140","neutral",339.25,23.3005722390388,397.501430597597,280.998569402403,0,0,"Subject141","positive",483.5,79.6052762070455,682.513190517614,284.486809482386,0,0,"Subject140","suicide",373.25,46.0099626892553,488.274906723138,258.225093276862,0,0
"175","Subject142","negative",465,14.6515073172239,501.62876829306,428.37123170694,0,0,"Subject141","neutral",421.25,51.1558077510918,549.13951937773,293.36048062227,0,0,"Subject142","positive",630.75,149.140593624495,1003.60148406124,257.898515938763,0,0,"Subject141","suicide",425.75,70.248962032664,601.37240508166,250.12759491834,0,0
"179","Subject143","negative",305.666666666667,10.5039675043925,331.926585427648,279.406747905685,0,0,"Subject142","neutral",534.75,93.4714751497304,768.428687874326,301.071312125674,0,0,"Subject143","positive",300,30.7571129984594,376.892782496148,223.107217503852,0,0,"Subject142","suicide",423.75,33.8464670731427,508.366167682857,339.133832317143,0,0
"183","Subject144","negative",427.75,116.854253951949,719.885634879873,135.614365120127,0,0,"Subject143","neutral",318.5,56.8066897468951,460.516724367238,176.483275632762,0,0,"Subject144","positive",488,132.395871033302,818.989677583254,157.010322416746,0,0,"Subject143","suicide",309.5,20.8566536146142,361.641634036535,257.358365963465,0,0
"187","Subject145","negative",469.333333333333,162.149108333451,874.706104166962,63.960562499705,0,0,"Subject144","neutral",405.5,15.8008438593218,445.002109648304,365.997890351696,0,0,"Subject145","positive",543.75,164.094231058458,953.985577646146,133.514422353854,0,0,"Subject144","suicide",455.25,22.0661883130428,510.415470782607,400.084529217393,0,0
"191","Subject146","negative",327,19.6468827043885,376.117206760971,277.882793239029,0,0,"Subject145","neutral",408.25,43.277207241996,516.44301810499,300.05698189501,0,0,"Subject146","positive",315.75,12.5266382827424,347.066595706856,284.433404293144,0,0,"Subject145","suicide",344.25,34.9129870773995,431.532467693499,256.967532306501,0,0
"195","Subject147","negative",332,NA,NA,NA,0,0,"Subject146","neutral",313.25,20.0062490237426,363.265622559356,263.234377440644,0,0,"Subject147","positive",584.833333333333,454.012518182777,1719.86462879028,-550.19796212361,0,0,"Subject146","suicide",321.75,19.9060292373944,371.515073093486,271.984926906514,0,0
"199","Subject148","negative",301,39.5979797464467,399.994949366117,202.005050633883,0,0,"Subject147","neutral",377.5,27.5771644662754,446.442911165688,308.557088834312,0,0,"Subject148","positive",293.75,35.4718198010759,382.42954950269,205.07045049731,0,0,"Subject147","suicide",934.666666666667,553.855877763641,2319.30636107577,-449.973027742436,0,0
"203","Subject149","negative",329,30.4521482548167,405.130370637042,252.869629362958,0,0,"Subject148","neutral",297,35,384.5,209.5,0,0,"Subject149","positive",335,17.6635217326557,379.158804331639,290.841195668361,0,0,"Subject148","suicide",452.25,178.854456658666,899.386141646665,5.11385835333476,0,0
"207","Subject15","negative",399.75,28.3475454551771,470.618863637943,328.881136362057,0,0,"Subject149","neutral",362.75,77.8090611689924,557.272652922481,168.227347077519,0,0,"Subject15","positive",497.75,114.505822268273,784.014555670683,211.485444329317,0,0,"Subject149","suicide",325.75,29.1132844820596,398.533211205149,252.966788794851,0,0
