"","SubjectID","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"85","Subject200",461.03125,63.5427536987425,619.888134246856,302.174365753144,2,0
"86","Subject201",561.359375,131.509232844743,890.132457111856,232.586292888144,2,0
"87","Subject202",354.857142857143,55.6405100573944,493.958418000629,215.755867713657,1,0
"88","Subject203",382.25,65.8348101100187,546.837025275047,217.662974724953,2,0
"89","Subject204",317.140625,37.4126993071129,410.672373267782,223.608876732218,2,0
"90","Subject205",465.078125,101.81921493393,719.626162334826,210.530087665174,2,0
"91","Subject206",408.484375,100.868607318929,660.655893297323,156.312856702677,1,0
"92","Subject207",490.8125,162.442456233897,896.918640584743,84.7063594152572,2,0
"93","Subject208",412.84375,84.3581214746402,623.739053686601,201.948446313399,3,0
"94","Subject209",284.263736263736,175.786918686917,723.731032981029,-155.203560453556,2,0
"95","Subject21",412.09375,117.04777463762,704.71318659405,119.47431340595,3,0
"96","Subject210",317.140625,52.0042327909431,447.151206977358,187.130043022642,2,0
"97","Subject212",354.403225806452,174.412029559309,790.433299704725,-81.6268480918214,3,0
"98","Subject213",390.734375,41.8084225536981,495.255431384245,286.213318615755,2,0
"99","Subject214",407.540229885057,111.011711575506,685.069508823822,130.010950946293,2,0
"100","Subject215",338.9375,44.6904254509188,450.663563627297,227.211436372703,1,0
"101","Subject217",628,150.136868773394,1003.34217193349,252.657828066515,2,0
"102","Subject219",322.269841269841,50.908585482027,449.541304974909,194.998377564774,3,0
"103","Subject22",311.15625,69.1375942917053,484.000235729263,138.312264270737,1,0
"104","Subject220",551.1875,151.375688954169,929.626722385422,172.748277614578,1,0
"105","Subject221",403.15625,116.715121740318,694.944054350794,111.368445649206,1,0
"106","Subject222",316.40625,49.4996292274073,440.155323068518,192.657176931482,3,0
"107","Subject223",372.75,71.712831200073,552.032078000182,193.467921999818,3,0
"108","Subject224",342.671875,39.3555444501566,441.060736125392,244.283013874608,1,0
"109","Subject225",412.28125,72.0712761730105,592.459440432526,232.103059567474,1,0
"110","Subject226",436.96875,53.8298226040854,571.543306510213,302.394193489787,1,0
"111","Subject227",618.904761904762,215.78205210169,1158.35989215899,79.4496316505362,2,0
