"","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"185","Subject12","num1","negative",487.833333333333,117.633354371139,723.100042075612,252.566624591055,0,0,"Subject12","num2","negative",551.5,70.0305128302851,691.56102566057,411.43897433943,0,0,"Subject12","num1","positive",507.6,131.241253676832,770.082507353665,245.117492646335,0,0,"Subject12","num2","positive",565.666666666667,194.720000995991,955.106668658649,176.226664674684,0,0,"Subject12","num1","suicide",564.4,181.696450157949,927.792900315898,201.007099684102,0,0,"Subject12","num2","suicide",596.333333333333,170.513307043139,937.359947419612,255.306719247055,2,0,"Subject12","num1","neutral",449.2,82.5816767408687,614.363353481737,284.036646518263,0,0,"Subject12","num2","neutral",457.666666666667,84.1074349035839,625.881536473835,289.451796859499,0,0
"193","Subject120","num1","negative",348.5,58.6538381290835,465.807676258167,231.192323741833,0,0,"Subject120","num2","negative",319,38.8558589890608,396.711717978122,241.288282021878,0,0,"Subject120","num1","positive",341.333333333333,37.9025864632753,417.138506259884,265.528160406783,0,0,"Subject120","num2","positive",388,82.9676826459337,553.935365291867,222.064634708133,0,0,"Subject120","num1","suicide",353,70.0311618949995,493.062323789999,212.937676210001,0,0,"Subject120","num2","suicide",393.666666666667,61.4659304498078,516.598527566282,270.734805767051,0,0,"Subject120","num1","neutral",393.166666666667,96.2391276818826,585.644922030432,200.688411302902,0,0,"Subject120","num2","neutral",447.333333333333,188.271242111111,823.875817555555,70.7908491111111,2,0
"201","Subject121","num1","negative",528,181.628992479425,891.257984958849,164.742015041151,2,0,"Subject121","num2","negative",506.833333333333,103.068232768689,712.969798870711,300.696867795956,0,0,"Subject121","num1","positive",481.666666666667,50.3863858476462,582.439438361959,380.893894971374,0,0,"Subject121","num2","positive",462.833333333333,44.897526421707,552.628386176747,373.038280489919,0,0,"Subject121","num1","suicide",538.666666666667,60.0080802639919,658.68282719465,418.650506138683,0,0,"Subject121","num2","suicide",445.4,83.7737694296039,612.947538859208,277.852461140792,0,0,"Subject121","num1","neutral",592.666666666667,185.807981692408,964.282630051482,221.050703281851,0,0,"Subject121","num2","neutral",598.166666666667,130.670183935345,859.507034537357,336.826298795976,0,0
"209","Subject122","num1","negative",699.666666666667,207.51662949063,1114.69992564793,284.633407685406,0,0,"Subject122","num2","negative",636,166.159835426889,968.319670853778,303.680329146222,0,0,"Subject122","num1","positive",489.333333333333,82.5385125902209,654.410358513775,324.256308152891,0,0,"Subject122","num2","positive",556,99.4329376560357,754.865875312071,357.134124687929,0,0,"Subject122","num1","suicide",542,136.806432597301,815.612865194603,268.387134805397,0,0,"Subject122","num2","suicide",639.333333333333,83.4759990910107,806.285331515355,472.381335151312,0,0,"Subject122","num1","neutral",537,145.293433499872,827.586866999745,246.413133000255,0,0,"Subject122","num2","neutral",615.5,125.944793100354,867.389586200708,363.610413799293,0,0
"217","Subject123","num1","negative",647.166666666667,212.781079701152,1072.72882606897,221.604507264363,2,0,"Subject123","num2","negative",594,97.4362262293557,788.872452458711,399.127547541289,0,0,"Subject123","num1","positive",595.333333333333,139.972291630317,875.277916593967,315.3887500727,2,0,"Subject123","num2","positive",597.5,45.4182582428937,688.336516485787,506.663483514213,0,0,"Subject123","num1","suicide",551.166666666667,79.0912399853754,709.349146637417,392.984186695916,0,0,"Subject123","num2","suicide",719,228.875512014719,1176.75102402944,261.248975970561,0,0,"Subject123","num1","neutral",597.666666666667,94.9979266121427,787.662519890952,407.670813442381,0,0,"Subject123","num2","neutral",620.833333333333,117.518921751763,855.871176836859,385.795489829808,0,0
"225","Subject124","num1","negative",503.666666666667,41.1545498055436,585.975766277754,421.357567055579,0,0,"Subject124","num2","negative",538.5,90.2053213507939,718.910642701588,358.089357298412,0,0,"Subject124","num1","positive",605.2,91.6355098565325,788.471019713065,421.928980286935,0,0,"Subject124","num2","positive",569.8,21.9737216794162,613.747443358832,525.852556641168,0,0,"Subject124","num1","suicide",606,127.603077762825,861.206155525649,350.793844474351,2,0,"Subject124","num2","suicide",592.333333333333,74.601161742518,741.535656818369,443.131009848297,0,0,"Subject124","num1","neutral",509,53.3223473533633,615.644694706727,402.355305293273,0,0,"Subject124","num2","neutral",506.833333333333,70.870988208836,648.575309751005,365.091356915661,0,0
"233","Subject125","num1","negative",604.333333333333,170.204867643957,944.743068621248,263.923598045419,0,0,"Subject125","num2","negative",638.166666666667,91.8643598250192,821.895386316705,454.437947016628,0,0,"Subject125","num1","positive",709.666666666667,113.684838145825,937.036342958317,482.296990375017,0,0,"Subject125","num2","positive",692.5,110.263733426231,913.027466852462,471.972533147538,0,0,"Subject125","num1","suicide",711.833333333333,161.220816010686,1034.27496535471,389.391701311961,0,0,"Subject125","num2","suicide",671,148.020883047568,967.041766095136,374.958233904864,0,0,"Subject125","num1","neutral",840.833333333333,304.629382374814,1450.09209808296,231.574568583706,0,0,"Subject125","num2","neutral",682.6,123.383053041241,929.366106082483,435.833893917517,0,0
"241","Subject127","num1","negative",661.833333333333,62.0364018259856,785.906136985305,537.760529681362,0,0,"Subject127","num2","negative",799.6,176.333774416588,1152.26754883318,446.932451166825,0,0,"Subject127","num1","positive",793.833333333333,198.433333587852,1190.70000050904,396.966666157629,0,0,"Subject127","num2","positive",895.166666666667,295.549667671283,1486.26600200923,304.0673313241,2,0,"Subject127","num1","suicide",996.5,163.08921150429,1322.67842300858,670.321576991421,0,0,"Subject127","num2","suicide",884.666666666667,179.186714875514,1243.04009641769,526.293236915638,0,0,"Subject127","num1","neutral",739.166666666667,196.729086139628,1132.62483894592,345.70849438741,2,0,"Subject127","num2","neutral",927.166666666667,317.400473544166,1561.967613755,292.365719578335,0,0
"249","Subject128","num1","negative",504.333333333333,167.732109645293,839.797552623919,168.869114042747,0,0,"Subject128","num2","negative",499.666666666667,67.7499860225861,635.166638711839,364.166694621495,0,0,"Subject128","num1","positive",459.333333333333,91.732152917,642.797639167333,275.869027499333,2,0,"Subject128","num2","positive",421,23.3393931525066,467.678786305013,374.321213694987,0,0,"Subject128","num1","suicide",516.2,103.02836718324,722.256734366479,310.143265633521,0,0,"Subject128","num2","suicide",496.166666666667,68.594769656603,633.356205979873,358.977127353461,0,0,"Subject128","num1","neutral",481,49.7995983919549,580.59919678391,381.40080321609,0,0,"Subject128","num2","neutral",622.666666666667,218.148128712135,1058.96292409094,186.370409242397,0,0
"257","Subject129","num1","negative",433.666666666667,88.8096363867768,611.28593944022,256.047393893113,0,0,"Subject129","num2","negative",387.833333333333,43.9148625355375,475.663058404408,300.003608262258,0,0,"Subject129","num1","positive",432.2,137.521553866213,707.243107732426,157.156892267574,0,0,"Subject129","num2","positive",408,93.4475491623212,594.895098324643,221.104901675358,0,0,"Subject129","num1","suicide",355.8,74.5934164506344,504.986832901269,206.613167098731,0,0,"Subject129","num2","suicide",330,74.3211703597055,478.642340719411,181.357659280589,2,0,"Subject129","num1","neutral",342.333333333333,29.589105284127,401.511543901587,283.155122765079,0,0,"Subject129","num2","neutral",455.833333333333,143.771809939686,743.376953212706,168.28971345396,0,0
