"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"133","Subject13","negative",418,90.2903528960152,598.58070579203,237.41929420797,2,0,"Subject13","neutral",433,80.4833226040731,593.966645208146,272.033354791854,0,0,"Subject13","positive",423.454545454545,89.430327908286,602.315201271117,244.593889637974,0,0,"Subject13","suicide",418.545454545455,64.9341991284271,548.413852802309,288.6770562886,0,0
"137","Subject131","negative",538.583333333333,134.803211375328,808.18975608399,268.976910582677,0,0,"Subject131","neutral",590,186.568555997404,963.137111994808,216.862888005192,2,0,"Subject131","positive",573.909090909091,146.176315289157,866.261721487406,281.556460330776,0,0,"Subject131","suicide",594.833333333333,170.631478482944,936.096290299221,253.570376367445,2,0
"141","Subject132","negative",730.636363636364,337.237311590821,1405.11098681801,56.1617404547221,2,0,"Subject132","neutral",1162.33333333333,468.821216812266,2099.97576695786,224.690899708802,0,0,"Subject132","positive",723.4,243.018821016853,1209.43764203371,237.362357966295,0,0,"Subject132","suicide",783.3,413.753053733364,1610.80610746673,-44.2061074667286,0,0
"145","Subject133","negative",425.083333333333,54.6044405477817,534.292214428897,315.87445223777,0,0,"Subject133","neutral",498.583333333333,161.647742803985,821.878818941303,175.287847725364,2,0,"Subject133","positive",436.416666666667,79.0920853879482,594.600837442563,278.23249589077,0,2,"Subject133","suicide",456.5,106.170904063049,668.841808126099,244.158191873901,0,0
"149","Subject134","negative",576.083333333333,104.940114047164,785.963561427662,366.203105239004,0,0,"Subject134","neutral",586.583333333333,154.21242172566,895.008176784653,278.158489882014,0,0,"Subject134","positive",608.363636363636,146.60817408984,901.579984543316,315.147288183957,0,0,"Subject134","suicide",588,180.913142743669,949.826285487339,226.173714512661,2,0
"153","Subject135","negative",433.5,104.413399019172,642.326798038344,224.673201961656,2,0,"Subject135","neutral",365.545454545455,39.852976554578,445.25140765461,285.839501436299,0,0,"Subject135","positive",413.181818181818,71.6922233702854,556.566264922389,269.797371441247,2,0,"Subject135","suicide",394.583333333333,81.7274987869506,558.038330907235,231.128335759432,2,0
"157","Subject136","negative",558.5,141.817089790059,842.134179580119,274.865820419881,2,0,"Subject136","neutral",575.636363636364,92.1523301281739,759.941023892711,391.331703380016,0,0,"Subject136","positive",711.416666666667,363.729583818704,1438.87583430407,-16.0425009707412,2,0,"Subject136","suicide",609.583333333333,175.869249027859,961.321831389052,257.844835277615,0,0
"161","Subject137","negative",760.916666666667,187.54267147289,1136.00200961245,385.831323720886,2,0,"Subject137","neutral",776.833333333333,357.436484679041,1491.70630269141,61.9603639752519,2,0,"Subject137","positive",732,205.433581777029,1142.86716355406,321.132836445943,2,0,"Subject137","suicide",559.5,83.753779927678,727.007559855356,391.992440144644,0,0
"165","Subject138","negative",484.416666666667,190.135630461559,864.687927589785,104.145405743549,2,0,"Subject138","neutral",508.5,165.879736425284,840.259472850568,176.740527149432,0,0,"Subject138","positive",499.5,127.538229562747,754.576459125494,244.423540874506,0,0,"Subject138","suicide",486.75,116.196329359071,719.142658718142,254.357341281858,0,0
"169","Subject139","negative",777.833333333333,325.889507370969,1429.61234807527,126.054318591396,2,0,"Subject139","neutral",683.083333333333,215.843928451266,1114.77119023587,251.395476430801,2,0,"Subject139","positive",746.545454545455,212.975904577809,1172.49726370107,320.593645389837,0,0,"Subject139","suicide",724,201.816102257562,1127.63220451512,320.367795484876,2,0
"173","Subject14","negative",394.25,56.189315091348,506.628630182696,281.871369817304,0,0,"Subject14","neutral",423.583333333333,92.3777296080404,608.338792549414,238.827874117252,2,0,"Subject14","positive",415.090909090909,80.3118381186195,575.714585328148,254.46723285367,0,0,"Subject14","suicide",380.5,42.0568972785161,464.613794557032,296.386205442968,2,0
"177","Subject140","negative",429,120.214094728649,669.428189457298,188.571810542702,2,0,"Subject140","neutral",406.916666666667,113.175860333902,633.26838733447,180.564945998863,2,0,"Subject140","positive",498,152.916902098389,803.833804196779,192.166195803221,2,0,"Subject140","suicide",479,112.898606005988,704.797212011975,253.202787988025,2,0
"181","Subject141","negative",520.5,124.963646887718,770.427293775436,270.572706224564,2,0,"Subject141","neutral",602.583333333333,111.136780851215,824.856895035764,380.309771630903,2,0,"Subject141","positive",590,124.628142540293,839.256285080585,340.743714919415,0,0,"Subject141","suicide",576.454545454545,131.781466748382,840.01747895131,312.891611957781,0,0
"185","Subject142","negative",460.111111111111,57.3604586995451,574.832028510201,345.390193712021,0,0,"Subject142","neutral",430.5,103.746765271732,637.993530543464,223.006469456536,2,0,"Subject142","positive",413.9,81.0671586434748,576.03431728695,251.76568271305,2,0,"Subject142","suicide",470.2,93.8641795922508,657.928359184502,282.471640815498,2,0
"189","Subject143","negative",381.833333333333,45.9391532040094,473.711639741352,289.955026925314,2,0,"Subject143","neutral",416.75,98.4975170730979,613.745034146196,219.754965853804,2,0,"Subject143","positive",383.181818181818,59.2779059167084,501.737630015235,264.626006348401,2,0,"Subject143","suicide",418.416666666667,59.5613798615722,537.539426389811,299.293906943522,2,0
"193","Subject144","negative",531,86.9543134731046,704.908626946209,357.091373053791,0,0,"Subject144","neutral",609.818181818182,124.696063390583,859.210308599347,360.426055037016,0,0,"Subject144","positive",679.8,305.580999684897,1290.96199936979,68.6380006302059,2,0,"Subject144","suicide",566.083333333333,160.695476700136,887.474286733606,244.692379933061,2,0
"197","Subject145","negative",518.2,117.039624419299,752.279248838598,284.120751161402,2,0,"Subject145","neutral",548.3,118.678734848595,785.65746969719,310.94253030281,0,0,"Subject145","positive",510.090909090909,51.7953013964901,613.681511883889,406.500306297929,0,0,"Subject145","suicide",545.555555555556,159.905200674069,865.365956903694,225.745154207417,2,0
"201","Subject146","negative",430.666666666667,46.5044800709208,523.675626808508,337.657706524825,2,0,"Subject146","neutral",422.083333333333,40.1312159391367,502.345765211607,341.82090145506,0,0,"Subject146","positive",429.083333333333,58.6981346764337,546.479602686201,311.687063980466,2,0,"Subject146","suicide",455.666666666667,70.9896910254162,597.646048717499,313.687284615834,2,0
"205","Subject148","negative",408.272727272727,96.7786781998626,601.830083672452,214.715370873002,0,0,"Subject148","neutral",350.909090909091,45.4657475373957,441.840585983882,259.9775958343,0,0,"Subject148","positive",378.916666666667,54.2337266048469,487.38411987636,270.449213456973,0,0,"Subject148","suicide",424.416666666667,92.6183927018099,609.653452070286,239.179881263047,2,0
"209","Subject149","negative",399.166666666667,73.72196101727,546.610588701207,251.722744632127,0,0,"Subject149","neutral",378.818181818182,81.2554094103375,541.329000638857,216.307362997507,0,0,"Subject149","positive",389.5,59.4064847872908,508.312969574582,270.687030425418,0,0,"Subject149","suicide",448.5,99.1665266105454,646.833053221091,250.166946778909,2,0
"213","Subject15","negative",445.333333333333,73.1054430059859,591.544219345305,299.122447321362,0,0,"Subject15","neutral",428.454545454545,84.0072146973825,596.46897484931,260.44011605978,2,0,"Subject15","positive",415.166666666667,82.4851326085451,580.136931883757,250.196401449576,2,0,"Subject15","suicide",451.545454545455,62.4215524995191,576.388559544493,326.702349546416,0,0
"217","Subject150","negative",740.333333333333,294.829157113163,1329.99164755966,150.675019107008,2,0,"Subject150","neutral",653.363636363636,193.036523919956,1039.43668420355,267.290588523725,0,0,"Subject150","positive",575.888888888889,172.782382302094,921.453653493077,230.324124284701,2,0,"Subject150","suicide",674.333333333333,247.923667542121,1170.18066841758,178.485998249091,0,0
"221","Subject151","negative",433.636363636364,65.9758581059303,565.588079848224,301.684647424503,2,0,"Subject151","neutral",459.909090909091,68.6043932307747,597.11787737064,322.700304447541,2,0,"Subject151","positive",454.5,48.2673475768584,551.034695153717,357.965304846283,0,0,"Subject151","suicide",452.833333333333,76.5833826149879,606.000098563309,299.666568103358,2,0
"225","Subject152","negative",516.416666666667,140.127555762805,796.671778192276,236.161555141057,2,0,"Subject152","neutral",498.75,142.16776678644,783.085533572879,214.414466427121,2,0,"Subject152","positive",517.666666666667,158.186094773561,834.038856213789,201.294477119544,2,0,"Subject152","suicide",548.083333333333,151.652611229592,851.388555792516,244.77811087415,0,0
"229","Subject153","negative",428.666666666667,53.4160590302096,535.498784727086,321.834548606247,0,0,"Subject153","neutral",387.916666666667,28.7189025263648,445.354471719396,330.478861613937,0,0,"Subject153","positive",401.916666666667,76.2757678009418,554.46820226855,249.365131064783,2,0,"Subject153","suicide",452.083333333333,83.4885655626574,619.060464458648,285.106202208018,2,0
"233","Subject154","negative",435.416666666667,119.827019043092,675.070704752851,195.762628580482,2,0,"Subject154","neutral",513.833333333333,191.141574361193,896.116482055719,131.550184610948,2,0,"Subject154","positive",443.818181818182,72.7393496466183,589.296881111418,298.339482524945,0,0,"Subject154","suicide",546.083333333333,381.921106884731,1309.9255471028,-217.758880436128,2,0
"237","Subject155","negative",537.083333333333,123.430288956496,783.943911246325,290.222755420342,0,0,"Subject155","neutral",438.25,77.2237010250091,592.697402050018,283.802597949982,2,0,"Subject155","positive",404.727272727273,59.1464540805536,523.02018088838,286.434364566166,0,0,"Subject155","suicide",421.181818181818,79.4227005834312,580.027219348681,262.336417014956,2,0
